time,seconds_elapsed,bpm
1776284476652875776,971.9308760166168,114.0
1776284479652875776,974.9308760166168,111.0
1776284483652875776,978.9308760166168,108.0
1776284488652875776,983.9308760166168,110.0
1776284496652875776,991.9308760166168,109.0
1776284501652875776,996.9308760166168,103.0
1776284507652875776,1002.9308760166168,100.0
1776284510652875776,1005.9308760166168,99.0
1776284516652875776,1011.9308760166168,96.0
1776284518652875776,1013.9308760166168,97.0
1776284523652875776,1018.9308760166168,100.0
1776284529652875776,1024.9308760166168,103.0
1776284533652875776,1028.9308760166168,104.0
1776284538652875776,1033.9308760166168,114.0
1776284543652875776,1038.9308760166168,125.0
1776284568652875776,1063.9308760166168,131.0
1776284577652875776,1072.9308760166168,138.0
1776284578652875776,1073.9308760166168,136.0
1776284602652875776,1097.9308760166168,121.0
1776284607652875776,1102.9308760166168,118.0
1776284612652875776,1107.9308760166168,114.0
1776284613652875776,1108.9308760166168,115.0
1776284618652875776,1113.9308760166168,113.0
1776284623652875776,1118.9308760166168,114.0
1776284632652875776,1127.9308760166168,112.0
1776284636652875776,1131.9308760166168,110.0
1776284638652875776,1133.9308760166168,110.0
1776284643652875776,1138.9308760166168,109.0
1776284648652875776,1143.9308760166168,108.0
1776284653652875776,1148.9308760166168,115.0
1776284659652875776,1154.9308760166168,127.0
1776284687652875776,1182.9308760166168,152.0
1776284692652875776,1187.9308760166168,147.0
1776284693652875776,1188.9308760166168,146.0
1776284702652875776,1197.9308760166168,139.0
1776284704652875776,1199.9308760166168,137.0
1776284708652875776,1203.9308760166168,133.0
1776284717652875776,1212.9308760166168,123.0
1776284722652875776,1217.9308760166168,120.0
1776284723652875776,1218.9308760166168,121.0
1776284731652875776,1226.9308760166168,114.0
1776284737652875776,1232.9308760166168,108.0
1776284739652875776,1234.9308760166168,108.0
1776284743652875776,1238.9308760166168,110.0
1776284749652875776,1244.9308760166168,108.0
1776284757652875776,1252.9308760166168,106.0
1776284759652875776,1254.9308760166168,108.0
1776284763652875776,1258.9308760166168,110.0
1776284768652875776,1263.9308760166168,114.0
1776284777652875776,1272.9308760166168,132.0
1776284778652875776,1273.9308760166168,133.0
1776284797652875776,1292.9308760166168,159.0
1776284802652875776,1297.9308760166168,163.0
1776284804652875776,1299.9308760166168,160.0
