time,seconds_elapsed,bpm
1776985165749985024,744.6989848613739,122.0
1776985170749985024,749.6989848613739,133.0
1776985189749985024,768.6989848613739,162.0
1776985192749985024,771.6989848613739,158.0
1776985198749985024,777.6989848613739,148.0
1776985203749985024,782.6989848613739,139.0
1776985206749985024,785.6989848613739,136.0
1776985213749985024,792.6989848613739,128.0
1776985215749985024,794.6989848613739,126.0
1776985220749985024,799.6989848613739,116.0
1776985229749985024,808.6989848613739,113.0
1776985234749985024,813.6989848613739,114.0
1776985237749985024,816.6989848613739,112.0
1776985243749985024,822.6989848613739,110.0
1776985245749985024,824.6989848613739,108.0
1776985254749985024,833.6989848613739,113.0
1776985255749985024,834.6989848613739,113.0
1776985260749985024,839.6989848613739,112.0
1776985265749985024,844.6989848613739,119.0
1776985274749985024,853.6989848613739,139.0
1776985276749985024,855.6989848613739,142.0
1776985282749985024,861.6989848613739,147.0
1776985285749985024,864.6989848613739,151.0
1776985294749985024,873.6989848613739,162.0
1776985299749985024,878.6989848613739,162.0
1776985301749985024,880.6989848613739,160.0
1776985309749985024,888.6989848613739,142.0
1776985311749985024,890.6989848613739,139.0
1776985317749985024,896.6989848613739,131.0
1776985324749985024,903.6989848613739,124.0
1776985325749985024,904.6989848613739,122.0
1776985332749985024,911.6989848613739,117.0
1776985335749985024,914.6989848613739,116.0
1776985340749985024,919.6989848613739,118.0
1776985345749985024,924.6989848613739,127.0
1776985350749985024,929.6989848613739,137.0
1776985366749985024,945.6989848613739,164.0
1776985373749985024,952.6989848613739,166.0
1776985376749985024,955.6989848613739,160.0
1776985384749985024,963.6989848613739,155.0
1776985389749985024,968.6989848613739,149.0
1776985390749985024,969.6989848613739,148.0
1776985395749985024,974.6989848613739,144.0
1776985404749985024,983.6989848613739,134.0
1776985409749985024,988.6989848613739,125.0
1776985413749985024,992.6989848613739,121.0
1776985417749985024,996.6989848613739,120.0
1776985424749985024,1003.6989848613739,119.0
1776985425749985024,1004.6989848613739,118.0
1776985430749985024,1009.6989848613739,118.0
1776985435749985024,1014.6989848613739,128.0
1776985440749985024,1019.6989848613739,139.0
1776985452749985024,1031.698984861374,158.0
